Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS,HousePrice_Year,HousePrice_Month,HousePrice_Day,Vancouver,Toronto,Montreal
2004,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.2,,1,,,,,,
2004,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.9,,1,,,,,,
2004,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.6,,1,,,,,,
2004,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.2,,1,,,,,,
2004,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.2,,1,,,,,,
2004,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.5,,1,,,,,,
2004,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.6,,1,,,,,,
2004,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.7,,1,,,,,,
2004,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.9,,1,,,,,,
2004,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.0,,1,,,,,,
2005,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.1,,1,,,,,,
2005,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.2,,1,,,,,,
2005,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.6,,1,,,,,,
2005,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.9,,1,,,,,,
2005,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.2,,1,,,,,,
2005,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.0,,1,,,,,,
2005,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.0,,1,,,,,,
2005,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.2,,1,,,,,,
2005,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.4,,1,,,,,,
2005,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1,,,,,,
2005,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1,,,,,,
2005,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1,,,,,,
2006,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.1,,1,,,,,,
2006,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.3,,1,,,,,,
