Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
1994,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1
1994,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1994,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1994,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1
1994,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1994,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1995,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1995,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1
1995,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",51,,1
1995,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1
1995,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.8,,1
1995,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1995,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1
1995,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1
1995,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.7,,1
1995,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1995,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1
1995,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1996,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.6,,1
1996,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1996,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.2,,1
1996,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1996,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.9,,1
1996,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1996,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1996,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1996,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.9,,1
1996,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",50,,1
1996,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1996,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.1,,1
1997,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.3,,1
1997,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.4,,1
1997,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.5,,1
1997,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",50.9,,1
1997,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1
1997,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1
1997,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.3,,1
1997,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.3,,1
1997,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.4,,1
1997,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.4,,1
1997,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",52,,1
1997,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1
